country_clean,country_pl,iso3,n_records,n_products,n_main_categories,n_sub_categories,median_price_ppp,mean_price_ppp,min_price_ppp,q1_price_ppp,q3_price_ppp,max_price_ppp,iqr_price_ppp,mean_rating,median_rating_count,ppp_year,currencies,price_range_ppp,price_index_ppp,compared_products_ppp
New_Zealand,Nowa Zelandia,NZL,6085,6085,21,152,46.66859563528626,185.9019912620371,0.33334711168061615,12.667190243863413,199.34157278500845,4380.181047483296,186.67438254114504,4.385753077480087,74,2024,NZD,4379.847700371616,78.47776982479526,5790
Norway,Norwegia,NOR,9845,9845,21,172,52.93458323239948,225.80457069331575,0.5241047844792028,13.521903439563433,261.5282874551222,4495.246736478122,248.00638401555878,4.372061210294459,54,2024,NOK,4494.722631693643,86.49364613285955,9487
Oman,Oman,OMN,7611,7611,21,155,70.93181965553397,334.8200733239305,0.5498590670971626,19.24506734840069,357.4083936131557,8104.9226490121755,338.16332626475497,4.413970588235294,2,2025,OMR,8104.372789945079,136.6349817445631,7434
Philippines,Filipiny,PHL,7418,7418,22,141,90.09646748780715,392.2211346812358,0.9253150714963977,24.301695825089602,413.9080417183097,9861.910630422133,389.60634589322007,4.665127272727273,8,2025,PHP,9860.985315350637,163.1602710430374,7139
Poland,Polska,POL,9475,9475,23,168,74.20159827254696,316.55482858271216,0.49799730384259705,19.914912180665457,353.82708438016516,6968.974269973303,333.9121721994997,4.772303805463445,11,2024,PLN,6968.476272669461,118.39391441016573,9142
Portugal,Portugalia,PRT,9103,9103,22,167,66.21935788699398,265.8121674739892,0.8948561876620807,17.879226629488375,306.0408161804316,6765.112778725331,288.16158955094323,4.383846059566123,58,2024,EUR,6764.2179225376685,106.02404211959397,8869
Qatar,Katar,QAT,8837,8837,21,149,52.622277655941964,221.8866602804234,0.3629122596961515,12.7019290893653,234.0784075040177,5111.619177820294,221.37647841465238,4.405814307458143,2,2024,QAR,5111.256265560598,85.58485600192776,8632
Romania,Rumunia,ROU,9377,9377,22,167,89.95552789656503,336.84097972172805,0.4376214870643704,23.29118803375927,408.446721260079,8193.24673003849,385.15553322631973,4.386585944919278,55,2024,RON,8192.809108551426,133.65015164964115,9181
Saudi_Arabia,Arabia Saudyjska,SAU,7556,7556,23,158,90.32088843433375,366.3939567740116,0.774942533904047,21.35100291687357,414.19342329354237,6864.921964136196,392.84242037666877,4.4697265625,3,2025,SAR,6864.147021602292,143.20297778796666,7331
Serbia,Serbia,SRB,8901,8901,21,163,88.94077582163224,337.483281495187,0.5733012889147221,19.74924095261405,395.36043024156993,7828.488407160418,375.61118928895587,4.387971992998249,59,2024,RSD,7827.915105871503,131.64911816707072,8757
Singapore,Singapur,SGP,7624,7624,21,154,43.9044338106642,191.64538229305904,0.4883696753132837,12.59993762308272,204.1385242809526,4444.164045350882,191.53858665786987,4.652800995909657,8,2025,SGD,4443.6756756755685,86.40164067822901,7311
Slovakia,Słowacja,SVK,8972,8972,22,167,64.16521948025989,269.9588681463395,0.34842502718632123,16.339299959105904,303.63407303355336,5827.867033674362,287.29477307444745,4.765119334355156,5,2024,EUR,5827.518608647175,104.11705232485046,8771
Slovenia,Słowenia,SVN,9006,9006,21,166,64.1170048694266,244.57956820402282,0.5198676070494047,17.31159131474518,277.26272375968256,6134.437763182977,259.9511324449374,4.380964153275649,59,2024,EUR,6133.917895575927,100,8845
South Korea,Korea Południowa,KOR,8306,8306,22,161,51.46316211381126,201.80659334754571,0.5730864377929984,14.78563009505936,228.08840224161338,4606.468786980122,213.30277214655402,4.3797236284033385,52,2024,KRW,4605.895700542329,93.79646327815243,7893
Spain,Hiszpania,ESP,9789,9789,23,168,59.45816432476155,255.85550559825776,0.4927941598794184,16.97590916274272,287.18004489524725,6659.5183191980705,270.20413573250454,4.381445178937771,53,2024,EUR,6659.025525038191,100.44197909249775,9320
Sweden,Szwecja,SWE,10722,10722,22,173,46.516432191982524,209.8500994019569,0.5829126841100567,11.541671145379123,232.5821609599126,5067.842875652833,221.0404898145335,4.368355508249069,46,2024,SEK,5067.259962968723,79.71923013861131,10165
Switzerland,Szwajcaria,CHE,9388,9388,23,166,45.11343386840243,176.72631600559245,0.451585924608633,10.838062190607193,189.66608833562586,3629.847662004192,178.82802614501867,4.504407443682664,8,2024,CHF,3629.3960760795835,65.14437905000892,9125
Thailand,Tajlandia,THA,7831,7831,23,151,84.52781517279155,392.0593790578578,0.7684346833890141,25.529107814812804,426.0543411234645,8586.830678714794,400.5252333086517,4.681714805549238,3,2021,THB,8586.062244031405,169.14113808180505,7619
United Arab Emirates,Zjednoczone Emiraty Arabskie,ARE,9242,9242,21,151,56.571899938239675,229.13483140611447,0.3706434823539841,13.655286191988887,251.64741696665234,5417.2471078790195,237.99213077466345,4.4059359388774615,2,2024,AED,5416.876464396665,92.11384752129851,8909
United Kingdom,Wielka Brytania,GBR,10052,10052,22,172,42.47596812251827,199.80956490084736,0.36617213898722645,10.252819891642341,219.70328339233586,5038.528632464236,209.45046350069353,4.4562037908321015,9,2024,GBP,5038.1624603252485,79.28686230952607,9592
United States of America,Stany Zjednoczone,USA,9953,9953,23,177,44.99,201.87507585652568,0.29000000000000004,12,199.99,5095,187.99,4.38370786516854,38,2024,USD,5094.71,87.41593440251918,8370
